fecha,z(mm6/mm3),Int(mm/h)
2013/05/02 14:15,526.260,12.192
2013/05/02 14:45,252.174,9.144
2013/05/12 20:45,343.875,32.512
2013/05/15 10:45,79.781,8.128
2013/05/17 02:45,1206.146,8.128
2013/05/17 03:00,1963.360,11.176
2013/05/17 03:15,3493.011,9.144
2013/05/19 22:00,273.968,9.144
2013/05/22 00:15,1301.967,8.128
2013/05/23 01:45,300.193,17.272
2013/05/23 02:15,2916.755,14.224
2013/05/23 02:30,526.866,61.976
2013/05/23 02:45,3441.121,51.816
2013/05/23 03:00,2222.286,36.576
2013/05/23 20:30,381.417,10.160
2013/05/30 19:30,330.979,9.144
2013/05/30 22:00,307.256,9.144
2013/06/23 04:00,624.597,24.384
2013/06/23 22:15,2253.720,59.944
2013/06/23 22:30,131.886,9.144
2013/06/27 03:30,545.381,14.224
2013/06/27 03:45,3045.089,39.624
2013/06/27 04:00,178.033,18.288
2013/06/27 04:15,9.395,8.128
2013/06/27 23:45,5052.426,17.272
2013/06/28 00:00,897.222,10.160
2013/06/28 00:15,1123.570,43.688
2013/07/05 06:45,1190.419,21.336
2013/07/15 08:45,1148.154,30.480
2013/07/15 09:00,1014.846,8.128
2013/07/22 01:15,4421.809,47.752
2013/07/22 02:30,54.363,9.144
2013/07/22 03:30,374.369,8.128
2013/07/22 04:15,24.975,12.192
2013/07/31 22:00,2090.259,54.864
2013/07/31 22:15,117.409,32.512
2013/08/04 21:00,1047.611,61.976
2013/08/04 21:15,3272.653,79.248
2013/08/04 21:30,897.222,20.320
2013/08/10 02:30,1243.083,10.160
2013/08/10 02:45,272.898,10.160
